address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
12737 N Windrose Dr,SCOTTSDALE,AZ,85260,950000,3589.0,3.0,3.5,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/12737-N-Windrose-Dr-Scottsdale-AZ-85260/82819000_zpid/
10290 E Shangri La Rd,SCOTTSDALE,AZ,85260,890000,3400.0,5.0,3.5,101.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10290-E-Shangri-La-Rd-Scottsdale-AZ-85260/8049502_zpid/
10025 E Windrose Dr,SCOTTSDALE,AZ,85260,774900,3320.0,4.0,3.0,61.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10025-E-Windrose-Dr-Scottsdale-AZ-85260/8047801_zpid/
16356 N 99th Pl,SCOTTSDALE,AZ,85260,565555,2311.0,4.0,2.0,26.0,For sale by owner,http://www.zillow.com/homes/for_sale//homedetails/16356-N-99th-Pl-Scottsdale-AZ-85260/59267508_zpid/
14450 N Thompson Peak Pkwy UNIT 106,Scottsdale,AZ,85260,375000,1706.0,2.0,3.0,46.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/14450-N-Thompson-Peak-Pkwy-UNIT-106-Scottsdale-AZ-85260/2087025509_zpid/
16510 N 92nd St # 1004,Scottsdale,AZ,85260,620000,3094.0,3.0,5.0,,New construction,http://www.zillow.com/homes/for_sale//homedetails/16510-N-92nd-St-1004-Scottsdale-AZ-85260/240312130_zpid/
8690 E Mescal St,SCOTTSDALE,AZ,85260,425000,1800.0,4.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/8690-E-Mescal-St-Scottsdale-AZ-85260/7864218_zpid/
11000 N 77th Pl UNIT 2023,SCOTTSDALE,AZ,85260,420000,1463.0,2.0,2.0,25.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/11000-N-77th-Pl-UNIT-2023-Scottsdale-AZ-85260/59982991_zpid/
14000 N 94th St UNIT 1119,SCOTTSDALE,AZ,85260,324000,1803.0,3.0,2.5,,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/14000-N-94th-St-UNIT-1119-Scottsdale-AZ-85260/55268793_zpid/
11886 N 81st St,SCOTTSDALE,AZ,85260,659900,2899.0,4.0,2.0,,House for sale,http://www.zillow.com/homes/for_sale//homedetails/11886-N-81st-St-Scottsdale-AZ-85260/7863523_zpid/
14000 N 94th St UNIT 1056,SCOTTSDALE,AZ,85260,345500,1727.0,2.0,2.5,,Townhouse for sale,http://www.zillow.com/homes/for_sale//homedetails/14000-N-94th-St-UNIT-1056-Scottsdale-AZ-85260/55199244_zpid/
9048 E Karen Dr,SCOTTSDALE,AZ,85260,535000,2438.0,4.0,3.0,54.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9048-E-Karen-Dr-Scottsdale-AZ-85260/8061820_zpid/
11260 N 92nd St UNIT 2108,Scottsdale,AZ,85260,265500,1301.0,2.0,2.0,51.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/11260-N-92nd-St-UNIT-2108-Scottsdale-AZ-85260/2087078755_zpid/
12138 N 80th Pl,SCOTTSDALE,AZ,85260,675000,2800.0,3.0,3.5,67.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/12138-N-80th-Pl-Scottsdale-AZ-85260/7863439_zpid/
9458 E Shangri La Rd,SCOTTSDALE,AZ,85260,899000,4197.0,4.0,4.0,50.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/9458-E-Shangri-La-Rd-Scottsdale-AZ-85260/8059350_zpid/
11000 N 77th Pl UNIT 1024,SCOTTSDALE,AZ,85260,419500,1422.0,2.0,2.0,64.0,Condo for sale,http://www.zillow.com/homes/for_sale//homedetails/11000-N-77th-Pl-UNIT-1024-Scottsdale-AZ-85260/60979111_zpid/
10191 E Jenan Dr,SCOTTSDALE,AZ,85260,1468000,6675.0,6.0,6.0,187.0,House for sale,http://www.zillow.com/homes/for_sale//homedetails/10191-E-Jenan-Dr-Scottsdale-AZ-85260/8049906_zpid/
